Gene.id,Neutrophil,RBC,Bcell,Monocyte,CD4.Tcell,CD8.Tcell,Platelet
ENSG00000100300,0.023014499,-0.031434166,-0.009497206,0.106240011,-0.007307846,-0.015421742,-0.032476582
ENSG00000163931,0.012717525,-0.03265325,-0.014031346,0.032081665,-0.023388964,-0.026490282,-0.032479654
ENSG00000005381,-0.032275934,-0.03282366,-0.032541047,-0.030437244,-0.032774741,-0.032808077,-0.03282366
ENSG00000115956,0.057190742,-0.03282366,0.027561882,0.057666247,-0.029272291,-0.026244555,-0.021833911
ENSG00000213876,-0.031527524,-0.03282366,-0.032511154,-0.030421143,-0.032803648,-0.03282366,-0.032805525
ENSG00000139572,-0.032191787,-0.03282366,-0.032171704,-0.030192269,-0.032810671,-0.032775249,-0.03282366
ENSG00000160999,-0.02624807,-0.03282366,-0.02633857,-0.026022332,-0.032511982,-0.032496373,-0.032268872
ENSG00000028137,0.066085513,-0.03281643,0.06699183,0.172493743,0.00424101,-0.00514858,-0.031680667
ENSG00000117410,0.005173604,-0.032567551,-0.014319159,0.011303247,-0.025680768,-0.025048633,-0.03246992
ENSG00000015475,-0.019694864,-0.032819067,-0.025367365,-0.019374901,-0.03117031,-0.031110723,-0.032201648
ENSG00000182117,0.02505957,-0.032553342,-0.009814221,0.038166016,-0.019770627,-0.022627633,-0.027202435
ENSG00000135604,0.010517915,-0.03282366,-0.006021812,0.016232086,-0.0211947,-0.024675687,-0.031300399
ENSG00000160255,0.116078365,-0.03281665,0.038362462,0.141892304,0.019893455,0.016447167,-0.031967472
ENSG00000100599,-0.016611467,-0.032819741,-0.016916945,-0.006769223,-0.027592936,-0.025658911,-0.032707342
ENSG00000126264,-0.023275088,-0.03282366,-0.026594869,-0.000964022,-0.020312659,-0.009697321,-0.032215606
ENSG00000254911,-0.031262503,-0.032534406,-0.027261652,-0.025589144,-0.031057021,-0.031484997,-0.03282366
ENSG00000103187,0.055171323,-0.03282064,0.05636678,0.132237316,0.010472909,0.0004211,-0.027016256
ENSG00000120949,-0.031321958,-0.03282366,-0.03123471,-0.03088987,-0.032674575,-0.032767802,-0.032791494
ENSG00000213719,0.073581698,-0.032553759,0.025535721,0.094065402,0.002336049,-0.008513227,-0.022843056
ENSG00000108932,-0.029728045,-0.032821984,-0.030581214,-0.026645949,-0.031157327,-0.031048455,-0.032805896
ENSG00000177105,0.063050837,-0.032804561,0.013999629,0.068309489,0.0254107,0.008155678,-0.031082844
ENSG00000114353,0.032414369,-0.032806754,0.013572344,0.045465238,0.001563664,-0.008166973,-0.030121846
ENSG00000183696,-0.024939744,-0.032822173,-0.028074828,-0.017068374,-0.023512167,-0.022597693,-0.032671294
ENSG00000054967,-0.023651919,-0.03282366,-0.017538891,-0.013963895,-0.024716011,-0.019958548,-0.032789426
ENSG00000074800,-0.011452226,-0.032777213,0.010288004,0.044711023,0.010829895,-0.001671489,-0.027673216
ENSG00000233328,-0.032188329,-0.03282366,-0.030747777,-0.028832893,-0.029561407,-0.030875169,-0.032738385
ENSG00000076944,-0.015564176,-0.032510145,-0.020534948,-0.001771562,-0.025565066,-0.024885591,-0.029315729
ENSG00000165233,-0.023942229,-0.03282366,-0.027001885,-0.009126074,-0.025743635,-0.024067021,-0.029705517
ENSG00000187608,-0.014315754,-0.03236069,-0.022454109,-0.00943808,-0.016255551,-0.021729061,-0.03260644
ENSG00000150977,-0.023975378,-0.03282366,-0.027364353,-0.020628446,-0.023969292,-0.029566719,-0.032052228
ENSG00000111331,-0.029146582,-0.03282366,-0.027391289,-0.026506466,-0.029184488,-0.030937692,-0.032685222
ENSG00000171314,-0.022228189,-0.032818359,-0.02415609,-0.017603299,-0.024758136,-0.027200532,-0.032299259
ENSG00000160446,-0.026604292,-0.032807934,-0.029685599,-0.026433491,-0.028184508,-0.0296161,-0.032652355
ENSG00000104903,-0.024941093,-0.02324699,-0.025946685,-0.022137847,-0.031704828,-0.03230572,-0.030641724
ENSG00000108518,0.174006475,-0.032738015,0.135657785,0.234080614,0.189650568,0.138345852,-0.003559945
ENSG00000260335,-0.031097055,-0.03282366,-0.031200918,-0.030773343,-0.032125314,-0.031377675,-0.03282366
ENSG00000250687,-0.032343185,-0.03282366,-0.032725355,-0.032141459,-0.03282366,-0.032783843,-0.03282366
ENSG00000242550,-0.032630117,-0.03282366,-0.03273596,-0.03217279,-0.03282366,-0.03282366,-0.032819207
ENSG00000149781,0.01222167,-0.032728192,-0.00684504,0.029847075,-0.005948927,-0.010848259,0.006114407
