Gene.id,Adipose.Tissue,Bladder,Brain,Colon,Esophagus,Heart,Kidney,Liver,Lung,Muscle,Nerve,Pancreas,Pituitary,Skin,Small.Intestine,Stomach
ENSG00000054356,-0.088240176,-0.088209225,-0.062269511,-0.087015449,-0.087962552,-0.088232495,-0.088276456,-0.08827346,-0.088204916,-0.088273999,-0.088126816,-0.084875858,-0.009102987,-0.087816806,-0.0875846,-0.087138919
ENSG00000166922,-0.087643593,-0.088096292,-0.045698162,-0.087067429,-0.087517564,-0.088124436,-0.088102204,-0.085762319,-0.087983385,-0.088220005,-0.087882633,-0.075882237,0.054420165,-0.082849104,-0.086985889,-0.086996635
ENSG00000007516,-0.087029356,-0.08605389,-0.076576322,-0.086729418,-0.087510514,-0.087733339,-0.085535851,-0.086600755,-0.085106631,-0.087885119,-0.087174823,-0.086264582,0.100543156,-0.087595685,-0.080824785,-0.08696896
ENSG00000124302,-0.088134247,-0.088224024,-0.085893779,-0.088208222,-0.088208541,-0.088251654,-0.088285878,-0.088279338,-0.088214095,-0.088276533,-0.088086872,-0.088178311,-0.066866716,-0.088235134,-0.088216209,-0.088233029
ENSG00000143631,-0.087834697,-0.088223657,-0.088085316,-0.087828087,-0.086650509,-0.088144693,-0.086984912,-0.08828431,-0.088161129,-0.088276947,-0.087810085,-0.087846744,-0.08822825,-0.039417646,-0.088254242,-0.087938065
ENSG00000204421,-0.087470689,-0.088214996,-0.088209783,-0.088204077,-0.085481122,-0.088241798,-0.08826436,-0.08826605,-0.088077244,-0.088263558,-0.087608863,-0.08827822,-0.088177689,0.002675474,-0.088226338,-0.088213769
ENSG00000134765,-0.088058967,-0.088306235,-0.088289254,-0.088298596,-0.088227842,-0.087506932,-0.088300872,-0.088301177,-0.088295075,-0.08829821,-0.088155162,-0.088302435,-0.088295602,-0.065072387,-0.088296201,-0.088301153
ENSG00000244617,-0.087273892,-0.087959781,-0.08725049,-0.087930927,-0.087818486,-0.088087947,-0.087940467,-0.08810033,-0.087764478,-0.087963126,-0.086572607,-0.088222499,-0.086968713,-0.022891678,-0.087822602,-0.088054719
ENSG00000107984,-0.081839515,-0.079962912,-0.087977786,-0.088116102,-0.087503355,-0.088147503,-0.088113509,-0.088232434,-0.087727039,-0.088217748,-0.087755021,-0.088259528,-0.088187504,-0.011209815,-0.088154282,-0.088098684
ENSG00000196407,-0.0881033,-0.088228482,-0.088182105,-0.08828003,-0.088019184,-0.088234305,-0.088222658,-0.088249855,-0.088216102,-0.088281796,-0.08792103,-0.088274869,-0.088131532,-0.061935626,-0.088240775,-0.088252735
ENSG00000134193,-0.088294619,-0.08808503,-0.088300526,-0.085969205,-0.087754247,-0.088304242,-0.088293448,-0.088280392,-0.088299743,-0.088303243,-0.088283893,-0.077609756,-0.088294251,-0.088292167,-0.007710466,-0.087524846
ENSG00000163295,-0.088305913,-0.088306201,-0.088306266,-0.087655938,-0.088297418,-0.088307153,-0.088223346,-0.088293735,-0.088306894,-0.088306651,-0.088300768,-0.088306809,-0.088306344,-0.088304586,-0.069595508,-0.088305984
ENSG00000173702,-0.088274632,-0.088170594,-0.08829611,-0.061989376,-0.088198245,-0.08829453,-0.087650631,-0.087175519,-0.088188614,-0.088293668,-0.088265717,-0.087889945,-0.088264677,-0.08827495,-0.028013549,-0.086502803
